#designation	ra	dec	w1	w1_err	h	h_err	k	k_err	Halpha_type	objtype_Hou	objtype_SIMBAD
J064756.01+111447.9	101.98341	11.246665	12.100	0.023	12.132	0.024	12.135	0.027	VI	CBe	StarnCluster
J065144.75+110524.2	102.93649	11.090082	10.603	0.023	10.760	0.024	10.727	0.021	VI	CBe	Star
J040054.33+285604.4	60.226413	28.934581	14.317	0.029	14.389	0.044	14.344	0.066	VI	CBe	-
J041141.69+270918.9	62.923726	27.155267	15.786	0.053	15.647	0.125	15.823	0.191	VI	CBe	WhiteDwarfCandidate
J041505.65+303846.5	63.773568	30.646265	13.739	0.027	14.085	0.046	14.060	0.050	VI	CBe	-
J070207.81+080010.6	105.53256	8.002948	13.332	0.026	13.389	0.034	13.309	0.043	VI	CBe	-
J070306.18+065759.8	105.77577	6.9666247	11.267	0.023	11.468	0.023	11.378	0.026	VI	CBe	-
J065856.32+063440.1	104.73468	6.57782	9.279	0.024	9.372	0.024	9.303	0.024	VI	CBe	Star
J064610.69+052922.0	101.54458	5.4894629	12.298	0.023	12.409	0.023	12.364	0.026	VI	CBe	-
J064723.28+053233.6	101.847	5.542668	11.470	0.022	11.759	0.025	11.574	0.024	VI	CBe	-
J064635.19+063217.9	101.64664	6.5383311	11.808	0.023	11.973	0.030	11.862	0.029	VI	CBe	-
J064628.08+074153.7	101.61702	7.6982645	12.823	0.024	12.918	0.029	12.817	0.030	VI	CBe	-
J063750.65+260435.4	99.461051	26.076522	15.206	0.040	15.279	0.086	15.166	0.104	VI	CBe	-
J063613.76+272000.5	99.057338	27.333489	15.126	0.041	15.304	0.084	15.489	0.141	VI	CBe	-
J063215.91+275753.8	98.06631	27.964954	15.244	0.044	15.370	0.082	15.431	0.127	VI	CBe	-
J063241.23+282435.4	98.171793	28.40984	15.029	0.041	15.476	0.091	15.426	0.139	VI	CBe	-
J042053.51+282220.1	65.222996	28.372255	15.914	0.068	15.709	0.111	15.643	0.188	VI	CBe	-
